,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked
0,104,30.0,Travel_Rarely,852.0,Research & Development,1.0,1.0,Life Sciences,1.0,4.0,Male,55.0,2.0,2.0,Laboratory Technician,4.0,Married,5126.0,15998.0,1.0
1,1638,38.0,Travel_Rarely,397.0,Research & Development,2.0,2.0,Medical,1.0,4.0,Female,54.0,2.0,3.0,Manufacturing Director,3.0,Married,7756.0,14199.0,3.0
2,164,26.0,Travel_Rarely,841.0,Research & Development,6.0,3.0,Other,1.0,3.0,Female,46.0,2.0,1.0,Research Scientist,2.0,Married,2368.0,23300.0,1.0
3,395,28.0,Travel_Rarely,1117.0,Research & Development,8.0,2.0,Life Sciences,1.0,4.0,Female,66.0,3.0,1.0,Research Scientist,4.0,Single,3310.0,4488.0,1.0
4,53,35.0,Travel_Rarely,464.0,Research & Development,4.0,2.0,Other,1.0,3.0,Male,75.0,3.0,1.0,Laboratory Technician,4.0,Divorced,1951.0,10910.0,1.0
5,1467,34.0,Travel_Rarely,1107.0,Human Resources,9.0,4.0,Technical Degree,1.0,1.0,Female,52.0,3.0,1.0,Human Resources,3.0,Married,2742.0,3072.0,1.0
6,727,32.0,Travel_Rarely,1018.0,Research & Development,3.0,2.0,Life Sciences,1.0,3.0,Female,39.0,3.0,3.0,Research Director,4.0,Single,11159.0,19373.0,3.0
7,351,42.0,Travel_Rarely,269.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Female,56.0,2.0,1.0,Laboratory Technician,1.0,Divorced,2593.0,8007.0,0.0
8,555,34.0,Travel_Frequently,296.0,Sales,6.0,2.0,Marketing,1.0,4.0,Female,33.0,1.0,1.0,Sales Representative,3.0,Divorced,2351.0,12253.0,0.0
9,253,40.0,Travel_Rarely,989.0,Research & Development,4.0,1.0,Medical,1.0,4.0,Female,46.0,3.0,5.0,Manager,3.0,Married,19033.0,6499.0,1.0
10,1363,48.0,Travel_Rarely,855.0,Research & Development,4.0,3.0,Life Sciences,1.0,4.0,Male,54.0,3.0,3.0,Manufacturing Director,4.0,Single,7898.0,18706.0,1.0
11,1799,28.0,Travel_Rarely,1181.0,Research & Development,1.0,3.0,Life Sciences,1.0,3.0,Male,82.0,3.0,1.0,Research Scientist,4.0,Married,2044.0,5531.0,1.0
12,42,39.0,Travel_Rarely,895.0,Sales,5.0,3.0,Technical Degree,1.0,4.0,Male,56.0,3.0,2.0,Sales Representative,4.0,Married,2086.0,3335.0,3.0
13,724,38.0,Travel_Rarely,827.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Female,33.0,4.0,2.0,Healthcare Representative,4.0,Single,7625.0,19383.0,0.0
14,1671,32.0,Travel_Rarely,977.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Male,45.0,3.0,2.0,Research Scientist,2.0,Divorced,5470.0,25518.0,0.0
15,1624,18.0,Travel_Frequently,544.0,Sales,3.0,2.0,Medical,1.0,2.0,Female,70.0,3.0,1.0,Sales Representative,4.0,Single,1569.0,18420.0,1.0
16,1778,43.0,Travel_Rarely,244.0,Human Resources,2.0,3.0,Life Sciences,1.0,2.0,Male,97.0,3.0,1.0,Human Resources,4.0,Single,3539.0,5033.0,0.0
17,930,28.0,Travel_Rarely,995.0,Research & Development,9.0,3.0,Medical,1.0,3.0,Female,77.0,3.0,1.0,Research Scientist,3.0,Divorced,2377.0,9834.0,5.0
18,514,30.0,Travel_Frequently,464.0,Research & Development,4.0,3.0,Technical Degree,1.0,3.0,Male,40.0,3.0,1.0,Research Scientist,4.0,Single,2285.0,3427.0,9.0
19,669,21.0,Travel_Rarely,1343.0,Sales,22.0,1.0,Technical Degree,1.0,3.0,Male,49.0,3.0,1.0,Sales Representative,3.0,Single,3447.0,24444.0,1.0
20,32,53.0,Travel_Rarely,1282.0,Research & Development,5.0,3.0,Other,1.0,3.0,Female,58.0,3.0,5.0,Manager,3.0,Divorced,19094.0,10735.0,4.0
21,1015,30.0,Travel_Rarely,153.0,Research & Development,8.0,2.0,Life Sciences,1.0,2.0,Female,73.0,4.0,3.0,Research Director,1.0,Married,11416.0,17802.0,0.0
22,1858,28.0,Non-Travel,280.0,Human Resources,1.0,2.0,Life Sciences,1.0,3.0,Male,43.0,3.0,1.0,Human Resources,4.0,Divorced,2706.0,10494.0,1.0
23,1383,34.0,Travel_Rarely,404.0,Research & Development,2.0,4.0,Technical Degree,1.0,3.0,Female,98.0,3.0,2.0,Healthcare Representative,4.0,Single,6687.0,6163.0,1.0
24,894,42.0,Travel_Rarely,1265.0,Research & Development,3.0,3.0,Life Sciences,1.0,3.0,Female,95.0,4.0,2.0,Laboratory Technician,4.0,Married,5231.0,23726.0,2.0
25,336,45.0,Travel_Rarely,252.0,Research & Development,1.0,3.0,Other,1.0,3.0,Male,70.0,4.0,5.0,Manager,4.0,Married,19202.0,15970.0,0.0
26,208,29.0,Non-Travel,1496.0,Research & Development,1.0,1.0,Technical Degree,1.0,4.0,Male,41.0,3.0,2.0,Manufacturing Director,3.0,Married,4319.0,26283.0,1.0
27,684,45.0,Travel_Frequently,306.0,Sales,26.0,4.0,Life Sciences,1.0,1.0,Female,100.0,3.0,2.0,Sales Executive,1.0,Married,4286.0,5630.0,2.0
28,362,32.0,Travel_Rarely,128.0,Research & Development,2.0,1.0,Technical Degree,1.0,4.0,Male,84.0,2.0,2.0,Laboratory Technician,1.0,Single,2176.0,19737.0,4.0
29,364,28.0,Travel_Rarely,529.0,Research & Development,2.0,4.0,Life Sciences,1.0,1.0,Male,79.0,3.0,1.0,Laboratory Technician,3.0,Single,3485.0,14935.0,2.0
30,428,33.0,Travel_Frequently,553.0,Research & Development,5.0,4.0,Life Sciences,1.0,4.0,Female,74.0,3.0,3.0,Manager,2.0,Married,11878.0,23364.0,6.0
31,1836,26.0,Travel_Rarely,572.0,Sales,10.0,3.0,Medical,1.0,3.0,Male,46.0,3.0,2.0,Sales Executive,4.0,Single,4684.0,9125.0,1.0
32,1893,26.0,Travel_Rarely,482.0,Research & Development,1.0,2.0,Life Sciences,1.0,2.0,Female,90.0,2.0,1.0,Research Scientist,3.0,Married,2933.0,14908.0,1.0
33,837,38.0,Travel_Frequently,471.0,Research & Development,12.0,3.0,Life Sciences,1.0,1.0,Male,45.0,2.0,2.0,Healthcare Representative,1.0,Divorced,6288.0,4284.0,2.0
34,1085,41.0,Travel_Rarely,509.0,Research & Development,7.0,2.0,Technical Degree,1.0,2.0,Female,43.0,4.0,1.0,Research Scientist,3.0,Married,3376.0,18863.0,1.0
35,881,35.0,Travel_Frequently,130.0,Research & Development,25.0,4.0,Life Sciences,1.0,4.0,Female,96.0,3.0,1.0,Research Scientist,2.0,Divorced,2022.0,16612.0,1.0
36,1725,24.0,Travel_Rarely,506.0,Research & Development,29.0,1.0,Medical,1.0,2.0,Male,91.0,3.0,1.0,Laboratory Technician,1.0,Divorced,3907.0,3622.0,1.0
37,1125,38.0,Travel_Rarely,130.0,Sales,2.0,2.0,Marketing,1.0,4.0,Male,32.0,3.0,3.0,Sales Executive,2.0,Single,7351.0,20619.0,7.0
38,1361,40.0,Travel_Rarely,329.0,Research & Development,1.0,4.0,Life Sciences,1.0,2.0,Male,88.0,3.0,1.0,Laboratory Technician,2.0,Married,2387.0,6762.0,3.0
39,1161,37.0,Travel_Rarely,367.0,Research & Development,25.0,2.0,Medical,1.0,3.0,Female,52.0,2.0,2.0,Healthcare Representative,4.0,Divorced,5731.0,17171.0,7.0
40,1428,30.0,Travel_Rarely,855.0,Sales,7.0,4.0,Marketing,1.0,4.0,Female,73.0,3.0,2.0,Sales Executive,1.0,Divorced,4779.0,12761.0,7.0
41,975,35.0,Travel_Rarely,1219.0,Sales,18.0,3.0,Medical,1.0,3.0,Female,86.0,3.0,2.0,Sales Executive,3.0,Married,4601.0,6179.0,1.0
42,1928,29.0,Travel_Frequently,746.0,Sales,24.0,3.0,Technical Degree,1.0,3.0,Male,45.0,4.0,1.0,Sales Representative,1.0,Single,1091.0,10642.0,1.0
43,1317,50.0,Travel_Rarely,1322.0,Research & Development,28.0,3.0,Life Sciences,1.0,4.0,Female,43.0,3.0,4.0,Research Director,1.0,Married,16880.0,22422.0,4.0
44,1258,48.0,Travel_Rarely,969.0,Research & Development,2.0,2.0,Technical Degree,1.0,4.0,Male,76.0,4.0,1.0,Laboratory Technician,2.0,Single,2559.0,16620.0,5.0
